DrainI(1),DrainV(1),SourceI(1),GateV(1),DrainI(2),DrainV(2),SourceI(2),GateV(2),DrainI(3),DrainV(3),SourceI(3),GateV(3),DrainI(4),DrainV(4),SourceI(4),GateV(4),DrainI(5),DrainV(5),SourceI(5),GateV(5),DrainI(6),DrainV(6),SourceI(6),GateV(6),DrainI(7),DrainV(7),SourceI(7),GateV(7),DrainI(8),DrainV(8),SourceI(8),GateV(8)
713.8566E-15,500.0153E-3,-711.2882E-15,-603.8863E-6,138.1472E-13,500.0172E-3,-137.3167E-13,-998.9976E-2,141.8640E-12,500.0188E-3,-140.1031E-12,-199.9252E-1,782.2290E-12,500.0177E-3,-784.2639E-12,-299.9614E-1,530.7791E-11,500.0159E-3,-530.0145E-11,-399.8972E-1,299.3767E-10,500.0284E-3,-299.3409E-10,-499.9596E-1,677.5639E-10,500.0154E-3,-676.9929E-10,-599.9644E-1,967.8705E-10,500.0098E-3,-967.1592E-10,-699.9249E-1
844.5599E-15,550.0479E-3,-828.6107E-15,-523.0280E-6,151.5118E-13,550.0501E-3,-152.0935E-13,-998.9905E-2,153.5113E-12,550.0500E-3,-155.7264E-12,-199.9257E-1,833.8047E-12,550.0504E-3,-835.6842E-12,-299.9619E-1,555.9919E-11,550.0489E-3,-555.1775E-11,-399.8987E-1,319.3675E-10,550.0543E-3,-319.3546E-10,-499.9599E-1,641.2373E-10,550.0524E-3,-640.7485E-10,-599.9652E-1,106.1970E-9,550.0489E-3,-106.1428E-9,-699.9242E-1
896.3055E-15,600.0250E-3,-875.9446E-15,-583.6710E-6,160.0218E-13,600.0264E-3,-160.2471E-13,-998.9895E-2,171.6020E-12,600.0249E-3,-170.0352E-12,-199.9256E-1,922.9880E-12,600.0249E-3,-924.9728E-12,-299.9618E-1,574.7302E-11,600.0268E-3,-573.7491E-11,-399.8973E-1,308.8056E-10,600.0292E-3,-308.8363E-10,-499.9598E-1,696.9244E-10,600.0323E-3,-696.3451E-10,-599.9665E-1,105.4230E-9,600.0240E-3,-105.3547E-9,-699.9244E-1
930.3713E-15,650.0288E-3,-935.0741E-15,-664.5294E-6,177.7144E-13,650.0298E-3,-177.7483E-13,-998.9814E-2,190.7747E-12,650.0298E-3,-189.1764E-12,-199.9259E-1,105.4429E-11,650.0288E-3,-105.6326E-11,-299.9617E-1,593.5608E-11,650.0273E-3,-592.6199E-11,-399.8973E-1,328.7393E-10,650.0340E-3,-328.7597E-10,-499.9600E-1,704.5332E-10,650.0325E-3,-703.8476E-10,-599.9662E-1,110.6956E-9,650.0368E-3,-110.6362E-9,-699.9251E-1
104.0616E-14,700.0147E-3,-102.3377E-14,-593.7777E-6,192.2471E-13,700.0157E-3,-193.2352E-13,-998.9895E-2,209.9858E-12,700.0180E-3,-207.6748E-12,-199.9253E-1,113.6276E-11,700.0115E-3,-113.8250E-11,-299.9601E-1,629.3331E-11,700.0172E-3,-628.2411E-11,-399.8980E-1,319.2482E-10,700.0306E-3,-319.1774E-10,-499.9600E-1,741.0782E-10,700.0192E-3,-740.3759E-10,-599.9662E-1,115.6704E-9,700.0136E-3,-115.6045E-9,-699.9246E-1
122.6203E-14,750.0482E-3,-118.7537E-14,-512.9203E-6,217.8247E-13,750.0501E-3,-219.0452E-13,-998.9885E-2,240.9413E-12,750.0497E-3,-241.8693E-12,-199.9258E-1,127.1650E-11,750.0468E-3,-127.3772E-11,-299.9602E-1,667.2541E-11,750.0542E-3,-666.4007E-11,-399.8980E-1,326.0430E-10,750.0556E-3,-325.9311E-10,-499.9604E-1,748.8243E-10,750.0495E-3,-748.1272E-10,-599.9656E-1,116.1746E-9,750.0544E-3,-116.0893E-9,-699.9244E-1
135.5789E-14,800.0445E-3,-129.9194E-14,-472.4916E-6,232.5114E-13,800.0461E-3,-229.5778E-13,-999.0016E-2,259.3344E-12,800.0461E-3,-256.0753E-12,-199.9251E-1,129.7530E-11,800.0498E-3,-129.9790E-11,-299.9600E-1,693.4001E-11,800.0415E-3,-692.2442E-11,-399.8969E-1,351.0582E-10,800.0476E-3,-350.9923E-10,-499.9603E-1,739.8825E-10,800.0432E-3,-739.2088E-10,-599.9660E-1,109.6676E-9,800.0434E-3,-109.6036E-9,-699.9248E-1
156.7980E-14,850.0336E-3,-151.3315E-14,-613.9930E-6,262.7413E-13,850.0358E-3,-261.1356E-13,-998.9835E-2,269.5222E-12,850.0347E-3,-271.8461E-12,-199.9257E-1,137.8611E-11,850.0330E-3,-137.9985E-11,-299.9615E-1,757.4048E-11,850.0362E-3,-756.7968E-11,-399.8972E-1,371.5176E-10,850.0391E-3,-371.4558E-10,-499.9606E-1,760.1990E-10,850.0326E-3,-759.4365E-10,-599.9656E-1,124.5898E-9,850.0367E-3,-124.5262E-9,-699.9249E-1
172.4144E-14,900.0440E-3,-169.2701E-14,-583.6710E-6,280.5502E-13,900.0463E-3,-281.8472E-13,-998.9915E-2,287.9833E-12,900.0474E-3,-286.6381E-12,-199.9251E-1,140.6401E-11,900.0473E-3,-140.8777E-11,-299.9605E-1,785.6048E-11,900.0457E-3,-784.2238E-11,-399.8972E-1,350.3729E-10,900.0512E-3,-350.3169E-10,-499.9603E-1,770.2524E-10,900.0531E-3,-769.5296E-10,-599.9661E-1,122.2547E-9,900.0396E-3,-122.1686E-9,-699.9246E-1
188.5880E-14,950.0222E-3,-190.5097E-14,-593.7777E-6,300.5834E-13,950.0248E-3,-306.9035E-13,-998.9935E-2,319.6466E-12,950.0251E-3,-319.8035E-12,-199.9256E-1,138.3861E-11,950.0189E-3,-138.5831E-11,-299.9605E-1,765.7675E-11,950.0226E-3,-765.1153E-11,-399.8975E-1,363.6889E-10,950.0117E-3,-363.6529E-10,-499.9612E-1,716.4648E-10,950.0216E-3,-715.9640E-10,-599.9654E-1,120.6825E-9,950.0147E-3,-120.6247E-9,-699.9242E-1
